"title";"description";"skillType";"uri"
"procedures associated with different air navigation areas";"Know relevant information related to various air navigation areas, including the availability of air navigation facilities and services and the procedures associated with them, as well as general air navigation procedures.";"knowledge";"http://data.europa.eu/esco/skill/0f997f18-7304-4f0c-b0f0-6468f953d52d"
"operate automated process control";"Operate process control or automation system (PAS) used to control a production process automatically.";"skill";"http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec"
"tend centrifuge machines";"Operate centrifuge that purifies animal and vegetable oils. Position filter cloth on centrifuge supply tank. Start centrifuge and transfer filtered material from centrifuge into portable tank.";"skill";"http://data.europa.eu/esco/skill/540ecf14-71ac-4675-aa3c-0ce19969d669"
"synchronise sound with images";"Synchronise recorded sound with footage.";"skill";"http://data.europa.eu/esco/skill/80e961f6-1482-4a28-9810-941b8aea1e86"
"provide emergency supplies";"Identify the need for supplies in emergency aid, such as specialised equipment for waste removal and transportation, or supplies to aid victims, and ensure the necessary supplies are delivered.";"skill";"http://data.europa.eu/esco/skill/d375cec2-d157-47f3-8d45-708741273e39"
"person centred care";"The person centered care approach involves treating patients as equal partners in the planning and developing of care, patients and their needs being at the core of all decisions.";"knowledge";"http://data.europa.eu/esco/skill/8168333b-8257-48f6-82c5-6b5128c21ecc"
"install automation components";"Install the automation components according to the specifications of the circuit diagram.";"skill";"http://data.europa.eu/esco/skill/818c2b89-1335-4443-ada7-e1046862e273"
"use food preparation techniques";"Apply food preparation techniques including the selecting, washing, cooling, peeling, marinating, preparing of dressings and cutting of ingredients.";"skill";"http://data.europa.eu/esco/skill/4b15a965-9bb4-42f1-8e44-1024aeb0b08c"
"follow given instructions";"Follow instructions to achieve goals and meet deadlines.";"skill";"http://data.europa.eu/esco/skill/ab9f550c-fa8f-4fe8-9f9f-e02d45bff570"
"inspect aircraft manufacturing";"Conduct inspections in the aviation industry; inspect plants where aircraft parts are manufactured to ensure safety and quality control. Ensure that aircraft components are manufactured in compliance with safety and design specifications.";"skill";"http://data.europa.eu/esco/skill/0a1b49a5-0cb3-45e6-9d8c-77a0550ac840"
"operate sleeper clipping unit";"Operate a machine that installs metal fastening clips onto railway sleepers. Attach the rails to the sleepers securely by using manual equipment.";"skill";"http://data.europa.eu/esco/skill/10815682-50d3-47df-a775-47ab6732ea4f"
"create craft prototypes";"Fabricate and prepare prototypes or models of objects to be crafted.";"skill";"http://data.europa.eu/esco/skill/643ae006-5b49-4ec6-9e7c-7b8bc157ae15"
"manage packaging development cycle from concept to launch";"Manage the packaging development cycle from concept to launch in order to ensure compliance with financial, operative, and commercial variables.";"skill";"http://data.europa.eu/esco/skill/fc518d4e-1968-4ba9-9750-8d386712a00f"
"maintain storage facilities";"Maintain or ensure the maintenance of cleaning equipment, heating or air conditioning of storage facilities and the temperature of premises.";"skill";"http://data.europa.eu/esco/skill/188ad0ce-1703-4d41-801b-201d739aeede"
"maintain furniture machinery";"Maintain machinery and equipment in order to ensure that it is clean and in safe, working order. Perform routine maintenance on equipment and adjust when necessary, using hand and power tools.";"skill";"http://data.europa.eu/esco/skill/326194b6-aeb7-441f-a198-3a223d7835b5"
"promote social security programmes";"Promote government programmes dealing with the provision of aid to individuals in order to gain support for the development and implementation of social security programmes.";"skill";"http://data.europa.eu/esco/skill/144aba2f-dddd-41bc-b519-0ea6d51bcd6b"
"maintain inventory of pesticides";"Keep track of the remaining supplies in order to ensure continuity and availability of the necessary pesticides.";"skill";"http://data.europa.eu/esco/skill/880a8964-a257-4763-b0f5-e0d09d8a0cae"
"monitor political conflicts";"Monitor the possibility and development of political conflicts in specific contexts, such as in or between political parties, governments, or between different countries, as well as identifying its potential impact on government operations, and public safety.";"skill";"http://data.europa.eu/esco/skill/786378b4-6661-4f51-b03c-3006a2bc2d62"
"study musical scores";"Study musical scores and develop various interpretations.";"skill";"http://data.europa.eu/esco/skill/3e2d3720-84e3-4b4f-84db-013fe1fea42f"
"set organisational policies";"Participate in setting organisational policies that cover issues such as participant eligibility, program requirements, and program benefits for the service users.";"skill";"http://data.europa.eu/esco/skill/8bad61b8-75f7-4bdc-b994-f7158f4b90f0"
"monitor political campaigns";"Monitor the methods applied in the conducting of a political campaign to ensure all the regulations are adhered to, such as the regulations concerning campaign financing, promotional methods, and other campaign procedures.";"skill";"http://data.europa.eu/esco/skill/e1964543-0312-4deb-8cba-aa07f3fb0904"
"develop organisational information goals";"Develop and interpret organisational information goals, creating specific policies and procedures.";"skill";"http://data.europa.eu/esco/skill/73da6815-deb4-4d0e-977f-266320fb76d7"
"inspect aircraft for airworthiness";"Inspect aircraft, aircraft components, and aviation equipment to ensure they conform to design specifications and to airworthiness standards following major repairs or alterations. Approve or deny issuance of airworthiness certificates.";"skill";"http://data.europa.eu/esco/skill/2c02af08-a7f9-4535-889d-f4172cfc9a17"
"plan logging operations";"Plan logging operations, such as the felling or bucking of trees or yarding, grading, sorting, loading or transporting logs.";"skill";"http://data.europa.eu/esco/skill/64203dfa-05f8-410c-a86f-8481dbb1f83d"
"criminal law";"Th legal rules, constitutions and regulations applicable for the punishement of offenders.";"knowledge";"http://data.europa.eu/esco/skill/8836a5a5-e2ff-4baf-aae3-bfb78a4cca7f"
"legislation in agriculture";"Body of regional, national and European laws enacted in the field of agriculture and forestry concerning various issues such as product quality, environmental protection and trade.";"knowledge";"http://data.europa.eu/esco/skill/5dfd1b83-8b77-444b-94cd-72f8e13472fa"
"pharmaceutical industry";"The main stakeholders, companies and procedures in the pharmaceutical industry and the laws and regulations that govern the patenting, testing, safety and marketing of drugs.";"knowledge";"http://data.europa.eu/esco/skill/a1c72d66-3671-4a8e-840d-e8b28e237b6f"
"advise on social security benefits";"Advise citizens on government-regulated benefits they are eligible for, such as unemployment benefits, family benefits, and other social security benefits.";"skill";"http://data.europa.eu/esco/skill/f28c3e9b-8666-48d4-a5e4-542ac193879b"
"apply prescribed herbicides";"Carry out, under supervision and as authorised, the spraying of prescribed herbicides in accordance with training and skills acquired, using manufacturers’ application rates, in accordance with materials safety data sheets and any formal procedure and practice in place, and for which clearance has been issued.";"skill";"http://data.europa.eu/esco/skill/1fd51289-0490-409f-8074-08af9382b7d0"
"deal with aggressive behaviour";"Respond promptly to adverse behaviour in a professional manner by taking appropriate and legal action to prevent further aggressiveness, such as verbal warning, lawful removal from the premises or apprehension of the person involved. Report details of adverse behaviour in line with the organisation’s procedures.";"skill";"http://data.europa.eu/esco/skill/f6c12779-bd4c-4908-a766-dd0db556c63b"
"develop social security programmes";"Develop programmes and policies which aim to protect citizens and grant them rights in order to aid them, such as providing unemployment and family benefits, as well as to prevent misuse of government-provided aid.";"skill";"http://data.europa.eu/esco/skill/d7cae736-7937-4b25-a015-0dbb3a8cf61e"
"develop organisational policies";"Develop and supervise the implementation of policies aimed at documenting and detailing the procedures for the operations of the organisation in the lights of its strategic planning.";"skill";"http://data.europa.eu/esco/skill/3254275d-a1b5-4640-9481-02f38780ac35"
"test for behavioural patterns";"Discern patterns in the behaviour of individuals by using various tests in order to understand the causes of their behaviour.";"skill";"http://data.europa.eu/esco/skill/7bdcdadb-146c-475f-8cff-921c6fd5f858"
"develop employment policies";"Develop and supervise the implementation of policies which aim to improve employment standards such as working conditions, hours, and pay, as well as reduce unemployment rates.";"skill";"http://data.europa.eu/esco/skill/54cdc5f2-8000-4ed8-9add-b55a4bf6c269"
"photographic lenses";"The types of lenses used for photographic purposes, such as telephoto lenses, with a larger focal length and shallower angles of refraction for a magnified view, and landscape lenses, with a shorter focal length and sharper angles of refraction for a wider view.";"knowledge";"http://data.europa.eu/esco/skill/b664c3b7-5839-4805-8e2b-44e0a2c5a1f4"
"test circuitry";"Inspect and test signal circuitry, using standard electrical or electronic testing equipment.";"skill";"http://data.europa.eu/esco/skill/2847f2cd-36e2-42f2-91bc-ede7aacdfaaf"
"drop hammer types";"The various types of hammers used in the forging process, such as a counterblow hammer, friction drop hammer, board drop hammer, belt drop hammer, power drop hammer, and others.";"knowledge";"http://data.europa.eu/esco/skill/6c9bff2e-e354-4c63-b17d-97b4e29662fc"
"plan leather goods manufacture";"Design the manufacturing process for each model of leather goods. Plan the stages of manufacturing and operations for production. Plan the usage of materials and leather components. Select machines and equipment. Plan the workforce. Calculate direct and indirect costs associated with manufacturing. Plan the maintenance of machines and equipment.";"skill";"http://data.europa.eu/esco/skill/8f4518fb-db84-4631-a812-d859729dee54"
"maintain linen operation";"Keep daily operations of a linen stock, including its distribution, maintenance, rotation and storage.";"skill";"http://data.europa.eu/esco/skill/59dbeac8-de39-4b55-8671-f11e6092abe8"
"keep updated on the political landscape";"Read, search, and analyse the political situation of a region as a source of information applicable for different purposes such as information, decision-making, and management, and investments.";"skill";"http://data.europa.eu/esco/skill/812590e4-7108-4016-baba-957dcf8213ae"
"possess visual literacy";"Interpret charts, maps, graphics, and other pictorial presentations used in place of the written word. The graphics used vary from process to process; therefore, the professional must have sufficient knowledge of the field in order to follow and use the information presented.";"skill";"http://data.europa.eu/esco/skill/1f403e44-7a79-4b91-b86a-e406208be161"
"electromagnetism";"The study of electromagnetic forces and the interaction between electric and magnetic fields. The interaction between electrically charged particles can create magnetic fields with a certain range or frequency and electricity can be produced by the changing of these magnetic fields.";"knowledge";"http://data.europa.eu/esco/skill/3edd4853-a8d2-4791-a5f0-af3a92f18245"
"run a projection";"Operate projection equipment safely and efficiently to project images on a background in an artistic or cultural context.";"skill";"http://data.europa.eu/esco/skill/1c685542-aa09-4704-ba87-2b1ffd802e1f"
"wet tumbling";"Process of tumbling, employing water and other agents inside a wet tumbling barrel to clean and remove burrs from metal parts and stones in order to smoothen them.";"knowledge";"http://data.europa.eu/esco/skill/06d63a6c-3786-48ae-98f6-71acbe49958c"
"tumbling machine parts";"Various parts of a tumbling machine, such as a deburr tub, tumbling barrel, tumbling compound and steel media ceramic polishing pins, their qualities and applications. ";"knowledge";"http://data.europa.eu/esco/skill/615bf0d1-91fb-4edb-8658-33b8306bdb9a"
"perform high risk work";"Perform high risk tasks and work that requires close adherence to specific rules and procedures to ensure safe operations.";"skill";"http://data.europa.eu/esco/skill/f6b1bb4f-170b-4c38-8c9e-abc90d30fb6c"
"electromagnetic spectrum";"The different electromagnetic wavelenghts or frequencies that are situated on the electromagnetic spectrum. Wavelenghts are divided in several categories according to their wavelength and energy level, starting from radio wavelenghts with a long wavelength and a low energy level, to microwaves, infrared, visible light, ultraviolet, X-rays, and finally Gamma-rays with a short wavelength and a high energy level.";"knowledge";"http://data.europa.eu/esco/skill/c500f5d0-42d4-4341-904e-cd4ef2ff3181"
"processes performed by tumbling";"The various usages of the metal tumbling process, such as the cleaning, burnishing, deburring, descaling, rust-removing, surface hardening, de-flashing, polishing, brightening, and others, of metal work pieces.";"knowledge";"http://data.europa.eu/esco/skill/eff776a5-b65c-4a90-b144-5c459d6fa794"
"operate meat processing equipment";"Operate meat processing equipment for meat preparations and prepared meat products.";"skill";"http://data.europa.eu/esco/skill/d350bfa6-ae99-433a-a138-1a16f8f93d33"
"advise on beer production";"Advise beer companies, small brewers and managers within the beer industry to improve the quality of the product or of the production process.";"skill";"http://data.europa.eu/esco/skill/9354ac54-6d2c-4952-a0a4-188f0406d282"
"install image equipment";"Install and connect projection and image equipment.";"skill";"http://data.europa.eu/esco/skill/727eb829-28da-4d6a-8552-ba5b5d280c41"
"types of literature genres";"The different literary genres in the history of literature, their technique, tone, content and length.";"knowledge";"http://data.europa.eu/esco/skill/7bb85eab-18df-437c-adce-7b729abb315e"
"load heavy items on pallets";"Use lifting equipment and machines to stack weighty products such as stone slabs or bricks on portable platforms so that they can be stored and moved.";"skill";"http://data.europa.eu/esco/skill/5f6c74c9-c49c-400d-bdd9-314e8bf348a1"
"ensure functionality of airport lighting systems";"Ensure that the airport lighting installations and lighting systems work properly by performing quality checks following the completion of maintenance, and by instructing staff on the diagnosis of flaws or breakdowns in airport lighting system. Keep and follow the airport light maintenance schedule to ensure service standards and perform routine checks according to the type of equipment, its location, and usage.";"skill";"http://data.europa.eu/esco/skill/32faa66e-ee56-48b9-85da-e444ffcd3ebb"
"plan rig operations";"Plan and execute rigging operations and prepare site for rigging; disassemble rig and clean site afterwards.";"skill";"http://data.europa.eu/esco/skill/8e313802-4624-4bf9-8f4d-c662df94f916"
"decision support systems";"The ICT systems that can be used to support business or organisational decision making.";"knowledge";"http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b"
"match coffee grind to coffee type";"Using different coffee grinding procedures and preparation methods.";"skill";"http://data.europa.eu/esco/skill/de34a91b-f0ca-4e68-82ee-af814b6625a6"
"check shipments";"Staff members must be vigilant and well-organised to ensure that inbound and outbound shipments are accurate and undamaged.This description does not really describe the competence (or task) suggested by the PT.";"skill";"http://data.europa.eu/esco/skill/0b3ee7c8-dc29-48de-a54b-2c91560161a4"
"circus dramaturgy";"Understand how a circus show is composed.";"knowledge";"http://data.europa.eu/esco/skill/df3d8e71-22a5-4904-9ccf-4fa29301b2cd"
"apply related sciences to music therapy";"Use psychological or sociological elements in delivering music therapy.";"skill";"http://data.europa.eu/esco/skill/06f3473a-0057-4992-b6f2-3bf606462ed0"
"building's electronic access equipment";"The types, characteristics and methods of use of electronic equipment used to access facilities such as card access control panels, card readers or infra-red readers.";"knowledge";"http://data.europa.eu/esco/skill/70b0bc44-6751-4530-ac5c-a893d4241aeb"
"perform contract compliance audits";"Execute a thorough contract compliance audit, ensuring that goods or services are being delivered in a correct and timely fashion, checking for clerical errors or missed credits and discounts and starting procedures for cash recovery.";"skill";"http://data.europa.eu/esco/skill/5b8a3dd2-de10-48a0-8ce5-522f1fff8450"
"ICT capacity planning strategies";"The methods, techniques and ICT tools used for planning the maximum amount of work that an organisation is capable of completing in a given period, based on the number of machines, workers and shifts and taking into account constraints such as quality problems, delays and material handling.";"knowledge";"http://data.europa.eu/esco/skill/60d48be0-4260-4b2e-85b9-aedff7a9b7d9"
"integrate scientific findings into music therapy practice";"Use the information gathered from various scientific findings and research to feed the daily practice and bring about improvements and innovation in the therapeutic interventions used in music therapy.";"skill";"http://data.europa.eu/esco/skill/5279200c-d6ed-4099-877c-a8100bb31d86"
"organise homecare for patients";"Organise care to be provided in the house of a patient who is housebound with acute and/or long-term health problems.";"skill";"http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f"
"facilitate teamwork between students";"Encourage students to cooperate with others in their learning by working in teams, for example through group activities.";"skill";"http://data.europa.eu/esco/skill/229b10cf-6f3a-490c-9706-01c107df0562"
"apply music therapy methods";"Apply existing music therapy methods, techniques, materials, and equipment in line with the patient`s therapeutic needs and the treatment plan already created.";"skill";"http://data.europa.eu/esco/skill/ba58df00-0b43-42a3-89e4-0dca7aa069fb"
"respect publication formats";"Submit text material for printing purposes. Always respect the required and expected publication formats.";"skill";"http://data.europa.eu/esco/skill/07d3074b-f5cd-420a-bdf8-c8d643563ea5"
"marketing management";"The academic discipline and function in an organisation which focuses on the market research, market development, and the creation of marketing campaigns to raise awareness on the company's services and products.";"knowledge";"http://data.europa.eu/esco/skill/5bbaa0e6-0fd7-4df2-9db7-34f78b40dc34"
"mix concrete";"Use compact concrete mixers or various ad-hoc containers such as wheelbarrows to mix concrete. Prepare the correct quantities of cement, water, aggregate and optional added ingredients, and mix the ingredients until an homogenous concrete is formed.";"skill";"http://data.europa.eu/esco/skill/5cc37935-e6c9-4f28-b800-25e177e63e68"
"assembling processes and techniques for goodyear footwear construction";"Technology, equipment, machines and tools for assembling Goodyear footwear construction types.";"knowledge";"http://data.europa.eu/esco/skill/b1578674-6e79-4142-9673-63a29f847aa8"
"operate maritime lifting equipment";"Operate motorised winches and hoists used by marine riggers; assist in the operation of sail-powered systems.";"skill";"http://data.europa.eu/esco/skill/11683adc-56fa-4408-84aa-8f02eb991628"
"manage yield";"Ability to conceive a pricing strategy based on understanding, anticipating, and influencing consumer behaviour in order to maximise revenue or profit from a fixed perishable resource from airline resources, such as seats.";"skill";"http://data.europa.eu/esco/skill/4dcd0883-fff2-4010-9a41-55c11be6e559"
"intermodalism";"Understand intermodalism by calculating, understanding, and responding to its role in changing customer requirements and increasing competitiveness of supply chains in a global marketplace.";"knowledge";"http://data.europa.eu/esco/skill/15952b07-e74b-4618-baf2-51f40a5edbc4"
"manage revenue";"Manage revenues, including deposit reconciliation, cash handling, and delivery of deposits to the bank.";"skill";"http://data.europa.eu/esco/skill/3e28860e-f520-461d-8282-a32264c4f4a1"
"read engineering drawings";"Read the technical drawings of a product made by the engineer in order to suggest improvements, make models of the product or operate it.";"skill";"http://data.europa.eu/esco/skill/b07daddc-8625-4360-946e-ad2b0e56ebf6"
"replace filled pallets";"Replace the pallets already filled with slabs with empty ones, using a lifting machine.";"skill";"http://data.europa.eu/esco/skill/234b7707-d762-4f1c-8b42-1716694d3616"
"types of photovoltaic panels";"Different types of photovoltaic cells and panels, with different efficiencies in different types of weather, costs, durability and lifespan ratings, and mounting possibilities.";"knowledge";"http://data.europa.eu/esco/skill/8248a071-5307-4a64-a62d-643a35ec31e2"
"stack empty pallets";"Deposit empty pallets in the designed location.";"skill";"http://data.europa.eu/esco/skill/7991b413-8e71-415d-bb6a-923ea154abc5"
"use pneumatic chisel";"Operate a pneumatically powered chisel to remove material from a stone workpiece.";"skill";"http://data.europa.eu/esco/skill/519c8b98-93cc-436b-9de9-71388a765c9e"
"apply chromate conversion coating to a metal workpiece";"Prevent steel or iron workpieces from rusting and other corrosion by applying a protective conversion coat to the metal surface using the chromate found in chromic acid as the chemical for the process of immersion bathing. Chromate conversion coatings are usually applied on everyday objects, such as tools and hardware.";"skill";"http://data.europa.eu/esco/skill/620cde7a-4d30-4dd2-bb2b-446ad5c6e8d3"
"prepare meat for sale";"Prepare meat for sale or cooking which comprise the seasoning, larding, or marinating of the meat, but not the actual cooking.";"skill";"http://data.europa.eu/esco/skill/ae5b462a-c1eb-4209-979b-3da8b1ad01de"
"use technical equipment for sterilisation";"Work with technical equipment and machinery such as steam sterilisers to clean and disinfect equipment and devices.";"skill";"http://data.europa.eu/esco/skill/82b6f3bc-5dc3-4c8b-a814-9b471df42e02"
"develop classification systems";"Organise archive or business records; develop classification systems to facilitate access to all information.";"skill";"http://data.europa.eu/esco/skill/49812c2d-3a36-4be8-bd41-8c0be3db7c6d"
"attend to fitness clients under controlled health conditions";"Recognise the standards and professional limitations when working with vulnerable clients. Monitor industry trends.";"skill";"http://data.europa.eu/esco/skill/3592e08e-2602-4700-a14f-084bd8ebf845"
"apply phosphate coating to metal workpiece";"Prevent steel or iron workpieces from rusting and other corrosion by applying a protective phosphate coating to the metal surface through a chemical reaction of phosphate salts and a dilute solution of phosphoric acid with the surface of the coated workpiece, forming a protective layer of insoluble, crystalline phosphates, usally iron. Phosphate coatings are usually applied to car bodies in their manufacturing process.";"skill";"http://data.europa.eu/esco/skill/474a346e-fe75-4bbb-ae59-4c64936a68ad"
"dry tumbling";"The process of tumbling, not employing water to clean and remove burrs, but tumbling metal parts in a dry media and compound mixture in order to smoothen them, creating a hand-buffed appearance.";"knowledge";"http://data.europa.eu/esco/skill/d7aae88d-3e85-4c86-8584-abed0cecdecd"
"apply hypno-psychotherapy";"Hypnotise a patient to create subconscious change in the form of new responses, thoughts, attitudes, behaviours or feelings.";"skill";"http://data.europa.eu/esco/skill/1907a2d7-c974-4ff2-ab08-d0324515a200"
"use food cutting tools";"Trim, peel and slice products with knives, paring or food cutting tools or equipment according to guidelines.";"skill";"http://data.europa.eu/esco/skill/c42d2a2a-2f55-45ac-beb1-0a8a76412457"
"construct cores";"Construct cores for the casting of objects in plaster, clay or metal. Use casting machines and materials such as rubber, plaster or fibreglass.";"skill";"http://data.europa.eu/esco/skill/b5604dbf-cf22-46d9-b416-88b38d84e0f1"
"prescribe exercises";"Provide a range of exercise programmes in accordance with the needs of the clients by applying principles of exercise programming.";"skill";"http://data.europa.eu/esco/skill/91695ae9-5236-4d68-af03-419dfec43b00"
"international law";"The binding rules and regulations in the relations between states and nations, and legal systems dealing with countries rather than private citizens.";"knowledge";"http://data.europa.eu/esco/skill/a3aa300b-6636-40fc-abe7-4ab3808dd742"
"operate pneumatic conveyor chutes";"Use air-conveyor chutes to transfer products or mixtures from containers to storage tanks.";"skill";"http://data.europa.eu/esco/skill/f28e74ac-ab8b-4f15-9bdd-8bb5c220e9ad"
"design engineering components";"Design engineering parts, assemblies, products, or systems.";"skill";"http://data.europa.eu/esco/skill/87434439-c07d-48be-af34-b0cdd03121c4"
"install pneumatic systems";"Install systems and components that use pneumatics to create mechanical movements such as air brakes, pneumatic cylinders, air compressors and other systems.";"skill";"http://data.europa.eu/esco/skill/82da5835-1759-4eeb-9d58-a834ee80384e"
"medical dispatch";"The concepts of a medical dispatch system and its use which consists in performing criteria based medical dispatch, answering emergency calls, and operating computer aided dispatch systems.";"knowledge";"http://data.europa.eu/esco/skill/f9246b8b-d8c4-4c28-ba6c-b50680dd0c79"
"electromagnets";"Magnets in which magnetic fields are produced by electric current. By manipulating the electric current, the magnetic fields can be changed and manipulated as well, which allows more control than permanent non-electric magnets. Electromagnets are commonly used in electrical devices, such as loudspeakers, hard disks, MRI devices, and electric motors.";"knowledge";"http://data.europa.eu/esco/skill/c3cad273-2cd4-4e4c-9d0a-4d7ed638fc36"
"archive documentation related to the work";"Select relevant documentation related to the ongoing or complete work and take steps to archive it in a way that ensures its future accessibility.";"skill";"http://data.europa.eu/esco/skill/6451e645-67b5-4cc7-aafd-fab19629fa82"
"monitor distillation processes";"Identify and report problems or potential hazards by monitoring instruments, indicators and meters. Inspect pipelines; lubricate valves or tighten connections if necessary.";"skill";"http://data.europa.eu/esco/skill/1ea9cd9e-984e-4ed7-b971-afb2070ff1ac"
"translate formulae into processes";"Translate, by means of computer models and simulations, the specific laboratory formulae and findings into production processes.";"skill";"http://data.europa.eu/esco/skill/0ba0717c-3a7a-45a3-834c-59c554e56c72"
"fraud detection";"The techniques used to identify fraudulous activities.";"knowledge";"http://data.europa.eu/esco/skill/541cdc23-1eec-4520-81fc-3392eaf538ed"
"interpret technical requirements";"Analyse, understand and apply the information provided regarding technical conditions.";"skill";"http://data.europa.eu/esco/skill/be48353d-25c7-4f86-bea9-7b9e248fbc6e"
"light a show";"Light a show based on concrete production needs.";"skill";"http://data.europa.eu/esco/skill/d748114d-bd74-4725-98c6-beec65e52d7e"
"define database physical structure";"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.";"skill";"http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad"
"integrate measures in architectural designs";"Integrate measurements, taken at sites or included in the project, into the design and drafting of architectural projects. Integrate considerations such as fire safety, acoustics, and building physics.";"skill";"http://data.europa.eu/esco/skill/8981d38b-fbc1-4ebe-9300-2357fb71913a"
"intervene to reduce sub-optimal nutritional status of individuals";"Suggest remediation to improve the nutritional status of individuals to an optimal state.";"skill";"http://data.europa.eu/esco/skill/9fa1f26c-f10c-47a3-a4d1-8854579a117d"
"assess nutritional characteristics of food";"Assess nutritional characteristics of food for human consumption for a better healthy diet.";"skill";"http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e"
"research family histories";"Determine history of a family and its family tree by researching into existing genealogical databases, conducting interviews and performing qualitative research into reliable sources.";"skill";"http://data.europa.eu/esco/skill/ab0bc977-8b71-48f7-bfcc-a8f92ec03e34"
"content of airworthiness directives";"Have extensive knowledge of all airworthiness directives which include service bulletins and similar documents relating to the aircraft and equipment.";"knowledge";"http://data.europa.eu/esco/skill/8143d024-c593-49d2-834a-e9e9df1110b8"
"operate climate control";"Operate climate control installations.";"skill";"http://data.europa.eu/esco/skill/8a7252d1-7007-4f16-a56e-225d692cd5fe"
"building systems monitoring technology";"Computer-based control systems that monitor mechanical and electrical equipment in a building such as HVAC, security and lighting systems.";"knowledge";"http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806"
"operate distillation equipment";"Operate control panels and other distillation equipment, in order to monitor and adjust product flow, pressure, temperature, etc.";"skill";"http://data.europa.eu/esco/skill/c51b6215-5473-4dfa-86ff-23ce960a87c8"
"tend spring making machine";"Tend a metalworking machine designed to produce metal springs, through either hot winding or cold winding processes, monitor and operate it according to regulations.";"skill";"http://data.europa.eu/esco/skill/7823cab7-0be2-4113-a50e-6d1d5c8937c1"
"security in commercial buildings";"Security procedures, characteristics, tasks and risks in commercial areas and institutions such as banks, malls, tourist spots, hotels and restaurants.";"knowledge";"http://data.europa.eu/esco/skill/b1dfada9-183f-4f54-a0d4-a365adfc8412"
"solution deployment";"The technologies and standards to be used during the installation, deployment and maintenance of software characteristics.";"knowledge";"http://data.europa.eu/esco/skill/1d86f05e-e9cc-40ce-99d8-2b21cc71b16b"
"inspect pipelines";"Walk flow lines to identify damage or leaks; use electronic detection equipment and conduct visual inspections.";"skill";"http://data.europa.eu/esco/skill/10ac5282-3288-4383-8f69-9864d8564ea9"
"perform lookout duties during maritime operations";"Maintain a watch during maritime operations, in order to anticipate events and potential hazards.";"skill";"http://data.europa.eu/esco/skill/e0228bea-f93b-4e79-89b0-eb97a17a52b1"
"identify the health benefits of nutritional changes";"Recognize the effects of nutritional changes on human organism and how they impact it positively.";"skill";"http://data.europa.eu/esco/skill/cb5bac93-9111-4275-af1d-f40b0a73511b"
"implement relevant technical skills to perform at the highest level in sport";"Identify the technical demands and work with coaching/supporting team (e.g. coaches, physiotherapist, nutritionist, psychologist) to implement an adapted programme to achieve the targeted highest level performance.";"skill";"http://data.europa.eu/esco/skill/7cbc635a-596b-4784-abba-31526a1fe92f"
"interpret 3D plans";"Interpret and understand plans and drawings in manufacturing processes which include representations in three dimensions.";"skill";"http://data.europa.eu/esco/skill/aafbb139-02c6-4f35-bc62-ff73faf97d6d"
"interpret 2D plans";"Interpret and understand plans and drawings in manufacturing processes which include representations in two dimensions.";"skill";"http://data.europa.eu/esco/skill/dfce2aba-783e-4e17-9c17-e74aca505ec2"
"provide pre-hospital emergency care of trauma";"Provide pre-hospital emergency medical care of simple and multiple system trauma, controlling haemorrhage, treating shock, bandaged wounds and immobilising painful, swollen, or deformed extremities, neck, or spine.";"skill";"http://data.europa.eu/esco/skill/038256f5-7b18-4e6f-8314-2401be1b601b"
"work on uneven surfaces";"Perform work on uneven surfaces; climb ladders and execute tasks on top of railcars.";"skill";"http://data.europa.eu/esco/skill/09fd83e2-2e47-4e56-9200-0393c05f9a71"
"handwriting analysis";"Types of approaches to analysing handwriting in order to identify a person and their personality.";"knowledge";"http://data.europa.eu/esco/skill/dd91b322-e72c-45fa-afc9-77698a2f8c13"
"application usability";"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured.";"knowledge";"http://data.europa.eu/esco/skill/c4b626c1-e71c-44ec-9f88-042766f37fcc"
"intermodal options";"Know current and future intermodal options and alternatives such as the piggybacking system, the road-rail system, fishy back system, birdyback systems, low body systems or the push-pull cargo sprinter.";"knowledge";"http://data.europa.eu/esco/skill/9a16345b-337f-4c0b-a344-68182cd015c6"
"plan music therapy sessions";"Make a treatment plan, outlining possible strategies and musical experiences that might be helpful in meeting the patient`s needs, setting clear goals for the patients to achieve and agreeing on a programme of activity with the patient, to be reviewed at regular intervals.";"skill";"http://data.europa.eu/esco/skill/6d662b19-0aee-4cff-ab86-80f309b9bcb5"
"assembling processes and techniques for cemented footwear construction";"Technology, equipment, machines and tools for lasting and soling in case of cemented footwear constructions.";"knowledge";"http://data.europa.eu/esco/skill/2200e940-ad43-4828-8727-47c4afcbc351"
"disability types";"The nature and types of disabilities affecting the human beings such as physical, cognitive, mental, sensory, emotional or developmental and the specific needs and access requirements of disabled people.";"knowledge";"http://data.europa.eu/esco/skill/6b28bb69-a6ef-42d4-84df-46e498f09297"
